id,Collar Height,Sample In Length,Sample Out Length,Collar Volume,Sample In Volume ,Sample Out volume ,Chamber Volume,unit volume,Total Volume,Area,Chamber height,Chamber
101,4,112.5,122.5,1294.618917,16.47432691,17.93871153,4854.820937,500,6683.852892,323.6547292,20.65118254,13.5
102,4,112.5,122.5,1294.618917,16.47432691,17.93871153,4854.820937,500,6683.852892,323.6547292,20.65118254,15.8
103,5,112.5,122.5,1618.273646,16.47432691,17.93871153,4854.820937,500,7007.507622,323.6547292,21.65118254,11.8
104,4,112.5,122.5,1294.618917,16.47432691,17.93871153,4854.820937,500,6683.852892,323.6547292,20.65118254,12.1
201,4,112.5,122.5,1294.618917,16.47432691,17.93871153,4854.820937,500,6683.852892,323.6547292,20.65118254,13.5
202,4,112.5,122.5,1294.618917,16.47432691,17.93871153,4854.820937,500,6683.852892,323.6547292,20.65118254,15.8
203,5,112.5,122.5,1618.273646,16.47432691,17.93871153,4854.820937,500,7007.507622,323.6547292,21.65118254,11.8
204,4,112.5,122.5,1294.618917,16.47432691,17.93871153,4854.820937,500,6683.852892,323.6547292,20.65118254,12.1
301,4,112.5,122.5,1294.618917,16.47432691,17.93871153,4854.820937,500,6683.852892,323.6547292,20.65118254,13.5
302,4,112.5,122.5,1294.618917,16.47432691,17.93871153,4854.820937,500,6683.852892,323.6547292,20.65118254,15.8
303,5,112.5,122.5,1618.273646,16.47432691,17.93871153,4854.820937,500,7007.507622,323.6547292,21.65118254,11.8
304,4,112.5,122.5,1294.618917,16.47432691,17.93871153,4854.820937,500,6683.852892,323.6547292,20.65118254,12.1
401,4,112.5,122.5,1294.618917,16.47432691,17.93871153,4854.820937,500,6683.852892,323.6547292,20.65118254,13.5
402,4,112.5,122.5,1294.618917,16.47432691,17.93871153,4854.820937,500,6683.852892,323.6547292,20.65118254,15.8
403,5,112.5,122.5,1618.273646,16.47432691,17.93871153,4854.820937,500,7007.507622,323.6547292,21.65118254,11.8
404,4,112.5,122.5,1294.618917,16.47432691,17.93871153,4854.820937,500,6683.852892,323.6547292,20.65118254,12.1
501,4,112.5,122.5,1294.618917,16.47432691,17.93871153,4854.820937,500,6683.852892,323.6547292,20.65118254,13.5
502,4,112.5,122.5,1294.618917,16.47432691,17.93871153,4854.820937,500,6683.852892,323.6547292,20.65118254,15.8
503,5,112.5,122.5,1618.273646,16.47432691,17.93871153,4854.820937,500,7007.507622,323.6547292,21.65118254,11.8
504,4,112.5,122.5,1294.618917,16.47432691,17.93871153,4854.820937,500,6683.852892,323.6547292,20.65118254,12.1
601,4,112.5,122.5,1294.618917,16.47432691,17.93871153,4854.820937,500,6683.852892,323.6547292,20.65118254,13.5
602,4,112.5,122.5,1294.618917,16.47432691,17.93871153,4854.820937,500,6683.852892,323.6547292,20.65118254,15.8
603,5,112.5,122.5,1618.273646,16.47432691,17.93871153,4854.820937,500,7007.507622,323.6547292,21.65118254,11.8
604,4,112.5,122.5,1294.618917,16.47432691,17.93871153,4854.820937,500,6683.852892,323.6547292,20.65118254,12.1
